,Outlet,Chemical,OutConcentration,ExpectedConcentration,Error
0,outc0,DNA,0.02180593,0.02,9.029650000000004
1,outc0,Evagreen,0.009088433,0.005,81.76866
2,outc0,FPrime,0.002149665,0.001,114.96649999999997
3,outc0,H2O,0.02607639,0.023,13.375608695652183
4,outc0,RPrime,0.002161231,0.001,116.1231
5,outc0,Taq,0.03871835,0.05,22.56330000000001
