,Outlet,Chemical,OutConcentration,ExpectedConcentration,Error
0,outc0,chem1,0.002149665,0.0892,97.59006165919283
1,outc0,chem2,0.002161231,0.01,78.38769
2,outc0,chem3,0.009088433,0.0008,1036.0541249999999
3,outc0,chem4,0.02607639,0.0008,3159.54875
4,outc0,chem5,0.03871835,0.0008,4739.793749999999
5,outc0,chem6,0.02180593,0.0008,2625.74125
